id,name,table_bookings,online_ordering,location,rating,votes,phone,restaurant_type,restaurant_operation,popular_dishes,cuisines_offered,primary_cuisine,
19281,Plan B,No,No,Greenwich,4.2/5,1651,8041609100,Casual Dining,Drinks & nightlife,7,4,American,
16095,Mom's Kitchen,No,No,East Village,,0," 9738732072,  9742716121",Delivery,Delivery,1,1,American,
42040,Keys Cafe - Keys Hotel,No,No,Chinatown,2.8 /5,161,"080 39451000
 8884038484",Casual Dining,Dine-out,7,3,Chinese,
18753,Smally's Resto Cafe,Yes,No,Greenwich,4.0/5,401,"080 48149349,  9632015858",Cafe,Dine-out,7,5,Snacks,
21065,Fabcafe,No,Yes,Chelsea,3.8 /5,11,8050403072,Cafe,Dine-out,1,2,Snacks,
33333,Big Wong XL,No,Yes,Tribeca,4.5 /5,686,9902667866,Casual Dining,Delivery,7,4,Chinese,
45948,Bites 2 Binge,Yes,No,Greenwich,3.7 /5,19,9986785586,Casual Dining,Dine-out,1,1,American,
50500,Burgundy - Royal Orchid Suites,No,Yes,Chinatown,3.9 /5,104," 9731079988
 9632500104",Casual Dining,Delivery,4,1,American,
44723,Mainland China,Yes,Yes,Greenwich,4.4 /5,1554,"080 25216677
080 39491234",Casual Dining,Buffet,7,1,Chinese,
5465,Vietnamese Kitchen,Yes,Yes,Greenwich,4.1/5,523,"080 41566008, 080 41566009",Casual Dining,Delivery,7,4,Chinese,
31764,Vijayalakshmi Veg,Yes,No,Chelsea,,100,080 49653105,Quick Bites,Dine-out,4,1,Mexican,
3986,Parrattha Ssinghh,Yes,No,Staten and Ellis Islands,4.2/5,45,7483073451,Quick Bites,Delivery,4,1,American,
27754,Johnson Fast Food,Yes,No,Lower Manhattan,3.7/5,67,080 26686112,Quick Bites,Delivery,3,3,Mexican,
49185,Soup'ermanz Kitchen,Yes,No,East Village,4.1 /5,446," 7795076877
 7259725921",Cafe,Delivery,7,3,Snacks,
28095,Al Habibi Restaurant,Yes,No,Lower Manhattan,3.5/5,17,9611118091,Quick Bites,Delivery,1,2,American,
31175,Momo Blues,Yes,No,Tribeca,NEW,0,8296129143,Quick Bites,Dine-out,1,4,Chinese,
22466,Food Court,Yes,No,Midtown,,0,8884220700,Quick Bites,Delivery,1,2,American,
9091,Ganesh Restaurant,Yes,No,Tribeca,3.7/5,51," 9845177981,  8971812966",Quick Bites,Delivery,1,2,Chinese,
2368,Burger Times,No,No,Midtown,3.5/5,16," 9900114819,  9663766830",Quick Bites,Dine-out,1,1,Italian,
6833,BITEBOX,Yes,No,Staten and Ellis Islands,4.4/5,150,080 49652513,Quick Bites,Delivery,5,5,American,
29598,Fujian Express,Yes,No,East Village,3.2 /5,16,080 43334321,Quick Bites,Delivery,1,4,Chinese,
50569,Shaadab,Yes,No,Chinatown,,0,"080 49542831
 7411543032",Takeaway,Delivery,1,4,American,
22387,Zaitoon Lassi Cafe,Yes,No,Lower Manhattan,3.5/5,5,9947860182,Quick Bites,Delivery,1,4,Snacks,
2485,1947,No,Yes,Chelsea,4.1/5,2303,"080 41261947,  9739989453",Casual Dining,Buffet,7,2,American,
8490,Dadi's Dum Burger,Yes,Yes,Lower Manhattan,4.1/5,2724," 7090999991,  7090599999",Casual Dining,Delivery,7,3,Italian,
22955,Al Habibi Restaurant,Yes,No,Lower Manhattan,3.5/5,17,9611118091,Quick Bites,Delivery,1,2,American,
35455,Nandhanus Rasoi,Yes,No,Chelsea,3.4 /5,9,9632490428,Quick Bites,Delivery,1,3,Chinese,
989,Mahesh Friends Food Center,Yes,No,Lower Manhattan,2.9/5,126,9731081364,Quick Bites,Delivery,1,2,Chinese,
8873,Sri Srinivas Park Hotel,Yes,No,Lower Manhattan,NEW,0,8095956143,Quick Bites,Delivery,1,2,American,
45421,Bismillah Ambur Burger,No,No,Greenwich,,0,9880480085,,Delivery,1,2,Italian,
29320,Bistro Oui,Yes,Yes,Tribeca,4.1 /5,402," 9535007412,  9972815434",Cafe,Cafes,7,4,Snacks,
28952,Dadi's Dum Burger,Yes,Yes,Lower Manhattan,,2727," 7090999991,  7090599999",Casual Dining,Dine-out,7,3,Italian,
1720,Joey's,No,No,Lower Manhattan,3.7/5,43,9900275325,Quick Bites,Delivery,1,2,Chinese,
4850,Light House Cafe,Yes,No,Staten and Ellis Islands,3.7/5,94," 9741033890,  9743686830",Cafe,Dine-out,1,5,Snacks,
35693,New Friends,Yes,No,Lower Manhattan,3.8 /5,273,"080 26784129
080 26912010",Casual Dining,Delivery,7,4,American,
23773,Udupi Thaja Thindi,Yes,No,Lower Manhattan,2.9/5,42,"080 26684932,  9448180376",Quick Bites,Dine-out,3,4,American,
28864,Lets cafe,No,No,Tribeca,3.5 /5,6,9573819444,Quick Bites,Dine-out,1,2,Chinese,
36216,sCoolMeal,No,No,Lower Manhattan,,0,8971958284,Takeaway,Delivery,1,4,American,
10845,Ambur Hot Dum Burger,No,No,Lower Manhattan,3.5/5,21,9739695758,Quick Bites,Dine-out,1,1,Italian,
6950,The Early bell,Yes,No,Chinatown,3.9/5,191," 9640890447,  8884644321",Quick Bites,Delivery,7,2,American,
29037,Kakatiya's,Yes,No,East Village,3.1 /5,6,9900026091,Quick Bites,Dine-out,1,2,Mexican,
10728,Dhe Chef Cafe,No,No,Lower Manhattan,,0,8861676624,Quick Bites,Dine-out,1,2,American,
40634,Happy Eat,Yes,No,Staten and Ellis Islands,3.3 /5,88,7411069588,Quick Bites,Delivery,1,3,Italian,
3023,Brews N Bites,Yes,No,Chelsea,2.9/5,62," 9886791151,  9886439454",Quick Bites,Delivery,,3,Chinese,
7017,Windy- Taste Of Home,Yes,Yes,Chinatown,3.6/5,109,8660884642,Quick Bites,Delivery,3,1,American,
7696,Bloomsbury's Global Kitchen & Bakehouse,Yes,Yes,Chinatown,4.5/5,733,"080 46411455, 080 46411466",Cafe,Desserts,7,8,American,
27102,Desipun,Yes,Yes,Tribeca,4.2/5,344,9108182190,Casual Dining,Delivery,,1,American,
41691,Rawalpindi Express,No,No,Staten and Ellis Islands,3.4 /5,4,080 65555568,Quick Bites,Dine-out,1,1,American,
41976,Dil Punjabi,Yes,No,Staten and Ellis Islands,2.6 /5,159,9886001722,Quick Bites,Dine-out,1,1,American,
21067,The Caramelts Cafe,No,No,Chelsea,4.1 /5,227,080 26544799,Cafe,Dine-out,7,4,Snacks,
50371,Punjabi by Nature 2.0,Yes,No,Chinatown,4.2 /5,489,"080 61224788
 7022638801",Casual Dining,Delivery,7,1,American,
33063,Momo Hut,Yes,No,Tribeca,4.0 /5,685," 9901617606,  6360809299",Quick Bites,Delivery,7,3,Chinese,
8293,Spice Code,No,Yes,Midtown,3.9/5,165," 9513699007,  9513699006",Casual Dining,Buffet,6,4,Mexican,
44771,Grubhouse,Yes,No,Greenwich,4.1 /5,338,080 40999721,Casual Dining,Cafes,7,2,Snacks,
21275,Halli Rotti Manne,No,No,Chelsea,3.4 /5,9,9008829029,Quick Bites,Dine-out,1,1,Mexican,
1767,Best Burger,No,No,Midtown,,0,8971042098,Quick Bites,Delivery,1,3,American,
8186,Madurai Canteen,No,No,Chinatown,,," 9611021296,  9886786010",Quick Bites,Dine-out,1,2,Mexican,
17029,Shanmukha,Yes,No,East Village,4.0/5,988,080 49653004,Casual Dining,Dine-out,,4,Italian,
42361,Imperial Restaurant,Yes,No,Greenwich,3.9 /5,,"080 69994888
080 25254888",Casual Dining,Delivery,7,4,American,
17324,Panchamuki Fastfood,No,No,East Village,3.5/5,12,7795482147,Quick Bites,Dine-out,1,2,Mexican,
34193,Momo Blues,Yes,No,Tribeca,NEW,0,8296129143,Quick Bites,Dine-out,2,,Chinese,
51162,Treat,Yes,No,Chinatown,3.8 /5,63,8971773793,Casual Dining,Dine-out,7,2,American,
254,Cafe Coffee Day,Yes,No,Chelsea,3.2/5,17,9071381447,Cafe,Delivery,1,2,Snacks,
35428,RBP Greens Garden,Yes,No,Lower Manhattan,2.7 /5,48," 8971411691
 9663809382",Casual Dining,Delivery,1,2,American,
27667,Food And You,No,No,Tribeca,3.8/5,," 9886360205,  7204347392",Quick Bites,Delivery,7,2,American,
8302,Cafe Fattoush,Yes,No,Lower Manhattan,3.8/5,24,8880786996,Cafe,Cafes,1,2,Snacks,
10639,Kallummakkaya,Yes,No,Lower Manhattan,NEW,0,9605141138,Quick Bites,Dine-out,1,2,Mexican,
18677,Bologna,No,Yes,Greenwich,4.5/5,717,8043027392,Casual Dining,Dine-out,7,1,Italian,
17594,Biggies Burger 'n' More,Yes,No,Greenwich,4.3/5,184," 9986769000,  9986123444",Quick Bites,Cafes,7,3,Snacks,
5487,Shalimar,Yes,No,Greenwich,4.0/5,153,080 49652615,Casual Dining,Delivery,5,3,American,
4948,Float,Yes,Yes,Staten and Ellis Islands,4.4/5,3061," 9066887042,  9066887086",Casual Dining,Drinks & nightlife,7,2,American,
23599,Al-Bek,Yes,No,Chelsea,3.9/5,684,9606030006,Casual Dining,Dine-out,7,4,American,
20207,Mani's Dum Burger,Yes,No,Tribeca,3.9/5,778,"080 43006111,  9606441691",Casual Dining,Delivery,7,2,Italian,
21561,The Brew - Aurick Boutique Hotel,No,No,Midtown,3.1 /5,16,080 49011000,Casual Dining,Dine-out,1,,American,
16461,FreshPhulka,Yes,No,East Village,3.8/5,24," 7338062773,  9964417512",Quick Bites,Delivery,1,1,American,
34656,Dum Burger Hub,Yes,No,Lower Manhattan,3.9 /5,66,080 49653144,Quick Bites,Dine-out,2,1,Italian,
18770,Jimi's Beer Cafe,No,Yes,Greenwich,3.9/5,815," 8892607344, 080 25203879",Bar,Dine-out,7,3,American,
18052,Copper Chimney,Yes,Yes,Greenwich,4.1/5,80," 8043757714,  8043757715",Casual Dining,Delivery,5,2,American,
